"TIME","SAIDA","STEP"
0.3357167175,0.412935,1
0.3357371384,0.413058,1
0.335798521,0.413429,1
0.3371248373,0.421501,1
0.3371253168,0.421504,1
0.3374520144,0.423501,1
0.3377566975,0.425363,1
0.3377669079,0.425425,1
0.3377975989,0.425613,1
0.3384114195,0.429367,1
0.3391647574,0.434009,1
0.3391697922,0.43404,1
0.3393283474,0.435018,1
0.3397968374,0.437907,1
0.3398017926,0.437937,1
0.3401240457,0.439922,1
0.3412047175,0.446629,1
0.3412072349,0.446644,1
0.3412865131,0.447137,1
0.3418367574,0.450561,1
0.3418392351,0.450576,1
0.3420003602,0.451577,1
0.3432446975,0.459359,1
0.3432459562,0.459367,1
0.3432855957,0.459615,1
0.3438767175,0.463325,1
0.3438779563,0.463333,1
0.3439585182,0.463837,1
0.3452846875,0.472197,1
0.3452853169,0.472201,1
0.3453051368,0.472326,1
0.3459166975,0.476196,1
0.3459173169,0.4762,1
0.3459575975,0.476454,1
0.3465713975,0.480339,1
0.3472261175,0.484513,1
0.3473297924,0.485174,1
0.3473349072,0.485206,1
0.3479568374,0.489173,1
0.3479569972,0.489174,1
0.3482840349,0.491257,1
0.3486113923,0.493357,1
0.349367235,0.498205,1
0.3493697924,0.498221,1
0.3499967574,0.502252,1
0.3499968374,0.502252,1
0.3501603549,0.503301,1
0.3503240323,0.504358,1
0.3514059562,0.511346,1
0.351407235,0.511354,1
0.3520367175,0.515432,1
0.3520367574,0.515432,1
0.3521185156,0.51596,1
0.3522003537,0.516492,1
0.3534453169,0.52459,1
0.3534459563,0.524594,1
0.3540766975,0.52871,1
0.3540767175,0.52871,1
0.3541175962,0.528976,1
0.354158515,0.529244,1
0.3554849972,0.537933,1
0.3554853169,0.537935,1
0.3561166875,0.542085,1
0.3561166975,0.542085,1
0.3561371367,0.542219,1
0.3561575959,0.542354,1
0.3567713723,0.546388,1
0.3575249972,0.551374,1
0.3575297926,0.551406,1
0.3581566875,0.555555,1
0.3581568373,0.555556,1
0.3581771366,0.55569,1
0.3584840226,0.557718,1
0.3595648374,0.564907,1
0.3595672351,0.564923,1
0.3598920429,0.567087,1
0.3601967574,0.569118,1
0.360206907,0.569185,1
0.3603603489,0.570205,1
0.3616047574,0.578532,1
0.3616059563,0.57854,1
0.3617683613,0.579629,1
0.3622367175,0.582771,1
0.3622417922,0.582804,1
0.3623185126,0.583318,1
0.3636447175,0.592246,1
0.3636453169,0.59225,1
0.36372652,0.592798,1
0.3642766975,0.596512,1
